"Name","Type","Detection.Method","Mass","Radius","Flux","Tsurf","Period","Distance","Age","ESI","Habitable"
"Kepler-1222 b","K Hot Subterran","Transit",0.42,0.79,438,1316,1.92,1354,4.37,0.29,"Yes"
"Kepler-1235 b","G Hot Subterran","Transit",0.42,0.79,289,1186,4.16,1763,4.57,0.29,"Yes"
"Kepler-1130 c","G Hot Subterran","Transit",0.42,0.79,306,1203,3.27,813,13.8,0.29,"Yes"
"Kepler-138 e","M Hot Subterran","Transit Timing Variations",0.43,0.8,1.73,329,38.2,218,4.68,0.79,"Yes"
"Kepler-1076 b","K Hot Subterran","Transit",0.44,0.8,74.3,844,6.15,649,3.72,0.31,"Yes"
"Kepler-1130 b","G Hot Subterran","Transit",0.44,0.8,154,1014,5.45,813,1.58,0.3,"Yes"
"Kepler-1365 c","G Hot Subterran","Transit",0.44,0.8,895,1573,4.77,2740,6.03,0.29,"Yes"
"Kepler-1395 b","F Hot Subterran","Transit",0.44,0.8,775,1518,3.78,1607,2.88,0.29,"Yes"
"Kepler-1393 b","G Hot Subterran","Transit",0.44,0.8,1246,1709,2.44,1775,3.47,0.29,"Yes"
"Kepler-1067 b","G Hot Subterran","Transit",0.44,0.8,2716,2076,0.76,2177,4.79,0.29,"Yes"
"Kepler-1581 b","F Hot Subterran","Transit",0.44,0.8,541,1387,6.28,1608,4.17,0.29,"Yes"
"Kepler-1972 b","G Hot Terran","Transit",2.02,0.8,338,1233,7.54,937,7.4,0.29,"Yes"
"Kepler-352 d","K Hot Terran","Transit",0.45,0.81,85.7,875,6.89,824,3.47,0.31,"Yes"
"Kepler-1611 b","G Hot Terran","Transit",0.46,0.81,224,1113,5.18,2962,5.01,0.3,"Yes"
"Kepler-388 b","K Hot Terran","Transit",0.46,0.81,280,1177,3.17,1386,13.9,0.29,"Yes"
"Kepler-220 b","K Hot Terran","Transit",0.46,0.81,99.7,908,4.16,558,6,0.3,"Yes"
"HD 23472 e","K Hot Terran","Transit",0.72,0.82,51.4,769,7.91,127,4.37450250455373,0.32,"Yes"
"Kepler-910 b","F Hot Terran","Transit",0.48,0.82,2137,1956,2.36,1305,3.39,0.29,"Yes"
"Kepler-32 f","M Hot Terran","Transit",0.48,0.82,302,1199,0.74,1056,2.69,0.29,"Yes"
"Kepler-106 b","G Hot Terran","Transit",5.3,0.82,287,1184,6.16,1449,4.83,0.29,"Yes"
"Kepler-1141 b","G Hot Terran","Transit",0.48,0.82,1200,1693,2.34,1283,6.17,0.29,"Yes"
"Kepler-1601 b","G Hot Terran","Transit",0.48,0.82,1077,1648,2.21,2101,4.27,0.29,"Yes"
"Kepler-390 b","K Hot Terran","Transit",0.48,0.82,105,921,6.74,1419,3.24,0.3,"Yes"
"Kepler-408 b","F Hot Terran","Transit",5,0.82,1489,1787,2.47,289,6.68,0.29,"Yes"
"Kepler-1446 b","K Hot Terran","Transit",0.48,0.82,1123,1665,0.69,496,2.63,0.29,"Yes"
"Kepler-20 e","G Hot Terran","Transit",0.76,0.82,169,1036,6.1,921,5.6,0.3,"Yes"
"Kepler-314 b","G Hot Terran","Transit",0.5,0.83,485,1350,2.46,876,2.4,0.29,"Yes"
"Kepler-1412 b","G Hot Terran","Transit",0.5,0.83,1136,1670,3.61,2464,6.31,0.29,"Yes"
"K2-257 b","M Hot Terran","Transit",0.5,0.83,89.1,883,1.61,208,4.37450250455373,0.31,"Yes"
"Kepler-450 d","F Hot Terran","Transit",17.6,0.84,537,1380,7.51,1487,3.02,0.29,"Yes"
"Kepler-1579 b","K Hot Terran","Transit",0.52,0.84,585,1415,0.85,1519,2.24,0.29,"Yes"
"Kepler-1507 b","G Hot Terran","Transit",0.52,0.84,31.1,679,16.1,1045,4.57,0.33,"Yes"
"Kepler-131 c","G Hot Terran","Transit",8.25,0.84,34.8,698,25.5,745,3.66,0.33,"Yes"
"L 98-59 b","M Hot Terran","Transit",0.4,0.85,23.6,632,2.25,34.6,0.8,0.35,"Yes"
"Kepler-406 c","G Hot Terran","Transit",2.71,0.85,365,1257,4.62,1187,5.84,0.29,"Yes"
"Kepler-1385 b","G Hot Terran","Transit",0.54,0.85,1636,1829,2.89,2246,4.37,0.29,"Yes"
"Kepler-1876 b","F Hot Terran","Transit",2.4,0.85,469,1336,6.99,847,4.4,0.29,"Yes"
"Kepler-107 d","G Hot Terran","Transit",7.7,0.86,331,1224,7.96,1715,4.29,0.3,"Yes"
"Kepler-388 c","K Hot Terran","Transit",0.57,0.86,42.1,732,13.3,1386,13.9,0.32,"Yes"
"Kepler-605 c","G Hot Terran","Transit",0.57,0.86,518,1372,2.36,1815,4.47,0.29,"Yes"
"Kepler-1361 b","K Hot Terran","Transit",0.57,0.86,196,1077,3.58,1269,4.9,0.3,"Yes"
"Kepler-1435 b","F Hot Terran","Transit",0.57,0.86,985,1611,4.45,2296,2.63,0.29,"Yes"
"Kepler-352 b","K Hot Terran","Transit",0.57,0.86,51.2,769,10.1,824,3.47,0.32,"Yes"
"K2-210 b","G Hot Terran","Transit",0.57,0.86,3315,2183,0.57,575,4.37450250455373,0.29,"Yes"
"Kepler-1258 b","G Hot Terran","Transit",0.57,0.86,3073,2142,0.98,2340,3.89,0.29,"Yes"
"Kepler-290 d","K Hot Terran","Transit",0.57,0.86,1093,1654,0.76,2265,1.1,0.29,"Yes"
"Kepler-102 f","K Hot Terran","Transit",4.3,0.86,9.55,504,27.5,351,1.1,0.42,"Yes"
"KOI-55 c","B Hot Terran","Orbital Brightness Modulation",0.66,0.87,396618,7219,0.34,4015,4.37450250455373,0.29,"Yes"
"Kepler-1972 c","G Hot Terran","Transit",2.11,0.87,181,1055,11.3,937,7.4,0.3,"Yes"
"Kepler-1890 b","F Hot Terran","Transit",0.59,0.87,583,1413,4.82,1727,2.65,0.29,"Yes"
"K2-209 b","K Hot Terran","Transit",0.59,0.87,310,1207,2.08,249,4.37450250455373,0.3,"Yes"
"Kepler-1031 b","F Hot Terran","Transit",0.59,0.87,3112,2148,1.23,2227,3.39,0.29,"Yes"
"Kepler-1542 d","G Hot Terran","Transit",0.59,0.87,294,1191,5.99,1301,8.51,0.3,"Yes"
"Kepler-607 b","K Hot Terran","Transit",0.59,0.87,2276,1987,0.64,1693,4.9,0.29,"Yes"
"Kepler-1152 b","K Hot Terran","Transit",0.59,0.87,160,1024,1.65,701,3.47,0.3,"Yes"
"Kepler-1907 b","K Hot Terran","Transit",0.59,0.87,74.3,844,5.65,952,14,0.31,"Yes"
"Kepler-342 e","F Hot Terran","Transit",0.61,0.88,3305,2181,1.64,2549,2.04,0.29,"Yes"
"Kepler-398 d","K Hot Terran","Transit",0.61,0.88,40.5,725,6.83,578,2.34,0.33,"Yes"
"Kepler-362 b","G Hot Terran","Transit",0.61,0.88,213,1100,10.3,3556,4.27,0.3,"Yes"
"Kepler-1416 b","F Hot Terran","Transit",0.61,0.88,2911,2113,1.5,3097,2.95,0.29,"Yes"
"Kepler-303 b","M Hot Terran","Transit",0.64,0.89,149,1005,1.94,684,3.31,0.3,"Yes"
"Kepler-353 b","K Hot Terran","Transit",0.64,0.89,25,643,5.8,1254,3.39,0.35,"Yes"
"Kepler-1560 b","G Hot Terran","Transit",0.64,0.89,586,1415,3.03,1638,4.17,0.29,"Yes"
"Kepler-387 c","G Hot Terran","Transit",0.64,0.89,142,994,11.8,2612,1.01,0.3,"Yes"
"Kepler-1027 b","G Hot Terran","Transit",0.64,0.89,1178,1685,1.91,1321,1.41,0.29,"Yes"
"Kepler-1408 b","F Hot Terran","Transit",0.64,0.89,2100,1947,3,1745,2.57,0.29,"Yes"
"Kepler-1352 b","F Hot Terran","Transit",0.64,0.89,2035,1932,1.88,2187,3.16,0.29,"Yes"
"Kepler-1637 b","G Hot Terran","Transit",0.64,0.89,296,1194,6.11,1849,4.17,0.3,"Yes"
"Kepler-865 c","G Hot Terran","Transit",0.64,0.89,135,981,6.21,1911,13.8,0.3,"Yes"
"Kepler-780 b","G Hot Terran","Transit",0.64,0.89,4621,2372,0.68,1818,4.9,0.29,"Yes"
"Kepler-1173 b","K Hot Terran","Transit",0.64,0.89,1490,1787,0.77,1229,4.79,0.29,"Yes"
"K2-223 b","G Hot Terran","Transit",0.64,0.89,5719,2501,0.51,647,4.37450250455373,0.29,"Yes"
"HD 21749 c","K Hot Terran","Transit",3.7,0.89,42.7,735,7.79,53.2,3.8,0.32,"Yes"
"Kepler-1547 b","F Hot Terran","Transit",0.67,0.9,6123,2544,0.69,2200,3.39,0.29,"Yes"
"Kepler-1398 b","F Hot Terran","Transit",0.67,0.9,1334,1738,2.79,2779,3.09,0.29,"Yes"
"TOI-540 b","M Hot Terran","Transit",0.67,0.9,23.1,630,1.24,45.7,1.1,0.35,"Yes"
"Kepler-1759 b","K Hot Terran","Transit",0.68,0.9,148,1004,3.72,1256,13.8,0.3,"Yes"
"EPIC 201757695.02","K Hot Terran","Transit",0.69,0.91,493,1356,2.05,1883,4.37450250455373,0.29,"Yes"
"Kepler-197 e","F Hot Terran","Transit",0.69,0.91,67,799,25.2,1078,5.37,0.31,"Yes"
"Kepler-1525 b","G Hot Terran","Transit",0.69,0.91,752,1506,2.42,1249,2.82,0.29,"Yes"
"Kepler-1296 b","G Hot Terran","Transit",0.69,0.91,381,1271,8.38,5060,4.17,0.3,"Yes"
"Kepler-1992 b","G Hot Terran","Transit",0.69,0.91,71.7,837,15.6,1738,13.6,0.31,"Yes"
"YZ Cet b","M Hot Terran","Radial Velocity",0.7,0.91,8.23,486,2.02,12.1,3.8,0.45,"Yes"
"Kepler-1934 b","G Hot Terran","Transit",0.7,0.91,2136,1955,1.42,1397,4.37450250455373,0.29,"Yes"
"TOI-700 b","M Hot Terran","Transit",0.7,0.91,5.01,430,9.98,101,1.5,0.53,"Yes"
"Kepler-1338 b","G Hot Terran","Transit",0.72,0.92,4741,2387,0.94,2456,3.8,0.29,"Yes"
"Kepler-1367 b","K Hot Terran","Transit",0.72,0.92,223,1112,1.57,1309,3.89,0.3,"Yes"
"Kepler-779 b","M Hot Terran","Transit",0.72,0.92,20.5,612,7.1,923,3.89,0.36,"Yes"
"TRAPPIST-1 e","M Warm Terran","Transit",0.69,0.92,0.65,257,6.1,40.5,0.5,0.85,"Yes"
"Kepler-1607 b","F Hot Terran","Transit",0.72,0.92,442,1319,13.6,4194,3.16,0.3,"Yes"
"Kepler-119 c","G Hot Terran","Transit",0.72,0.92,382,1272,4.13,2289,3.63,0.3,"Yes"
"Kepler-1365 b","G Hot Terran","Transit",0.72,0.92,473,1341,7.7,2740,6.03,0.3,"Yes"
"Kepler-1387 b","K Hot Terran","Transit",0.75,0.93,286,1183,2.28,1485,4.37,0.3,"Yes"
"Kepler-1421 b","F Hot Terran","Transit",0.75,0.93,684,1471,6.91,2555,2.75,0.29,"Yes"
"Kepler-1505 b","G Hot Terran","Transit",0.75,0.93,40.6,726,30.9,1614,1.7,0.33,"Yes"
"Kepler-398 b","K Hot Terran","Transit",0.75,0.93,79.8,859,4.08,578,2.34,0.31,"Yes"
"Kepler-1898 b","G Hot Terran","Transit",0.76,0.93,213,1099,4.77,1177,4.37450250455373,0.3,"Yes"
"Kepler-1572 b","G Hot Terran","Transit",0.78,0.94,626,1439,5.5,3087,4.79,0.29,"Yes"
"Kepler-1438 b","G Hot Terran","Transit",0.78,0.94,1108,1660,2.32,3764,5.37,0.29,"Yes"
"Kepler-1169 b","F Hot Terran","Transit",0.78,0.94,363,1256,6.11,1705,1.38,0.3,"Yes"
"Kepler-1425 b","G Hot Terran","Transit",0.78,0.94,232,1122,14.5,2817,4.07,0.3,"Yes"
"LHS 1678 c","M Hot Terran","Transit",1.4,0.94,13.6,551,3.69,64.8,7,0.39,"Yes"
"Kepler-1957 b","K Hot Terran","Transit",0.79,0.94,280,1177,2.19,1503,4.37450250455373,0.3,"Yes"
"Kepler-1689 b","G Hot Terran","Transit",0.8,0.95,151,1009,8.48,959,2.5,0.3,"Yes"
"Kepler-1049 b","M Hot Terran","Transit",0.81,0.95,59.5,798,3.27,528,3.8,0.32,"Yes"
"Kepler-271 c","G Hot Terran","Transit",0.81,0.95,113,938,7.41,1319,4.57,0.31,"Yes"
"Kepler-106 d","G Hot Terran","Transit",8.1,0.95,47,753,24,1449,4.83,0.32,"Yes"
"K2-315 b","M Hot Terran","Transit",0.81,0.95,7.58,477,3.14,185,1,0.46,"Yes"
"Kepler-1598 b","G Hot Terran","Transit",0.81,0.95,329,1225,4.34,2021,3.8,0.3,"Yes"
"Kepler-20 f","G Hot Terran","Transit",1.4,0.95,35.7,702,19.6,921,5.6,0.33,"Yes"
"TOI-700 e","M Warm Terran","Transit",0.82,0.95,1.28,305,27.8,101,1.5,0.91,"Yes"
"Teegarden's Star d (N)","M Cold Terran","Radial Velocity",0.82,0.95,0.12,167,26.1,12.5,8,0.44,"Yes"
"Kepler-524 c","F Hot Terran","Transit",0.84,0.96,2993,2127,1.89,3451,3.02,0.29,"Yes"
"Kepler-1650 b","M Hot Terran","Transit",0.84,0.96,48.3,758,1.54,438,13.9,0.32,"Yes"
"Kepler-1445 b","F Hot Terran","Transit",0.84,0.96,243,1136,10.6,1651,3.8,0.3,"Yes"
"Kepler-399 b","G Hot Terran","Transit",0.84,0.96,36,704,14.4,2415,3.98,0.33,"Yes"
"EPIC 206317286 b","K Hot Terran","Transit",0.84,0.96,454,1328,1.58,1025,4.37450250455373,0.3,"Yes"
"Kepler-1297 b","G Hot Terran","Transit",0.87,0.97,2502,2034,1.68,4694,4.17,0.29,"Yes"
"Kepler-1443 b","F Hot Terran","Transit",0.87,0.97,2687,2071,2.42,1936,2.63,0.29,"Yes"
"Kepler-1293 b","F Hot Terran","Transit",0.87,0.97,925,1586,5.58,3353,2.82,0.29,"Yes"
"Kepler-1285 b","F Hot Terran","Transit",0.87,0.97,188,1065,14.8,1377,2.75,0.3,"Yes"
"Kepler-1693 c","G Hot Terran","Transit",0.89,0.98,175,1046,5.36,2478,0.8,0.3,"Yes"
"Kepler-68 c","G Hot Terran","Transit",1.3,0.98,210,1094,9.61,470,6.84,0.3,"Yes"
"Kepler-1990 c","G Hot Terran","Transit",0.9,0.98,515,1370,4.07,1280,2.5,0.3,"Yes"
"Kepler-220 d","K Hot Terran","Transit",0.9,0.98,7.94,482,28.1,558,6,0.45,"Yes"
"Kepler-1053 b","K Hot Terran","Transit",0.9,0.98,128,968,2.41,492,3.09,0.3,"Yes"
"Kepler-1328 b","G Hot Terran","Transit",0.9,0.98,604,1426,4.52,2653,4.57,0.3,"Yes"
"LHS 1678 d (N)","M Hot Terran","Transit",0.91,0.98,9.06,499,4.97,64.8,7,0.43,"Yes"
"K2-411 b","G Hot Terran","Transit",0.94,0.99,693,1476,3.21,972,4.37450250455373,0.29,"Yes"
"Kepler-969 c","K Hot Terran","Transit",0.94,0.99,551,1394,1.68,1273,1.51,0.3,"Yes"
"Kepler-1047 c","G Hot Terran","Transit",0.94,0.99,1409,1762,3.19,2666,4.47,0.29,"Yes"
"EPIC 220492298 b","G Hot Terran","Transit",0.94,0.99,3801,2258,0.76,2036,4.37450250455373,0.29,"Yes"
"Kepler-381 b","F Hot Terran","Transit",0.94,0.99,749,1505,5.63,871,2.57,0.29,"Yes"
"LHS 475 b","M Hot Terran","Transit",0.94,0.99,22.3,625,2.03,40.7,4.37450250455373,0.35,"Yes"
"KMT-2020-BLG-0414L b","Terran","Microlensing",0.96,1,842.853577881192,971.489553461696,79940.7559943925,2609,4.37450250455373,0.257026875699888,"No"
"Kepler-1800 b","G Hot Terran","Transit",0.96,1,185,1061,4.56,1143,14,0.3,"Yes"
"EPIC 201833600 c","K Hot Terran","Transit",0.97,1,77.4,853,3.96,839,4.37450250455373,0.31,"Yes"
"EPIC 206215704 b","M Hot Terran","Transit",0.97,1,13.1,546,2.26,358,4.37450250455373,0.39,"Yes"
"Kepler-392 b","G Hot Terran","Transit",0.97,1,450,1325,5.34,2222,2.97,0.3,"Yes"
"K2-157 b","G Hot Terran","Transit",0.97,1,6428,2576,0.37,973,4.37450250455373,0.29,"Yes"
"Kepler-1417 b","G Hot Terran","Transit",0.97,1,121,954,20.4,3234,4.07,0.3,"Yes"
"K2-229 b","G Hot Terran","Transit",2.49,1,2379,2009,0.58,334,5.4,0.29,"Yes"
"Kepler-1464 c","G Hot Terran","Transit",0.97,1,896,1574,5.33,3756,3.89,0.29,"Yes"
"K2-239 c","M Hot Terran","Transit",0.97,1,4.82,426,7.78,101,4.37450250455373,0.54,"Yes"
"Kepler-595 c","K Hot Terran","Transit",3.3,1.01,46.4,751,12.4,2097,2.7,0.32,"Yes"
"EPIC 206032309 b","M Hot Terran","Transit",1.01,1.01,32.6,687,2.88,526,4.37450250455373,0.33,"Yes"
"Kepler-1482 b","G Hot Terran","Transit",1.01,1.01,80,860,12.3,1851,4.47,0.31,"Yes"
"Kepler-322 b","G Hot Terran","Transit",1.01,1.01,706,1483,1.65,1306,14,0.29,"Yes"
"Kepler-282 b","G Hot Terran","Transit",1.01,1.01,189,1067,9.22,4362,0.4,0.3,"Yes"
"Kepler-1081 b","G Hot Terran","Transit",1.01,1.01,227,1117,3.86,1370,4.68,0.3,"Yes"
"Kepler-398 c","K Hot Terran","Transit",1.01,1.01,20.4,611,11.4,578,2.34,0.36,"Yes"
"Kepler-1278 b","F Hot Terran","Transit",1.01,1.01,1323,1735,3.24,2900,3.31,0.29,"Yes"
"K2-72 d","M Hot Terran","Transit",1.01,1.01,5.86,446,7.76,216,4.37450250455373,0.5,"Yes"
"Kepler-1947 b","F Hot Terran","Transit",1.01,1.01,255,1150,6.96,1528,4.37450250455373,0.3,"Yes"
"Kepler-1911 b","G Hot Terran","Transit",1.01,1.01,206,1090,5.99,880,4.37450250455373,0.3,"Yes"
"K2-136 b","K Hot Terran","Transit",4.3,1.01,33.8,690,7.98,193,0.65,0.33,"Yes"
"K2-415 b","M Hot Terran","Transit",7.5,1.01,4.81,426,4.02,71.2,4.37450250455373,0.54,"Yes"
"Kepler-1649 b","M Hot Terran","Transit",1.03,1.02,1.95,340,8.69,300,4.37450250455373,0.77,"Yes"
"Teegarden's Star c","M Warm Terran","Radial Velocity",1.05,1.02,0.35,221,11.4,12.5,8,0.66,"Yes"
